n,author,title,editorial,pages,genre,subgenre,code
1,MIGUEL DE UNAMUNO,ABEL SÁNCHEZ,EDIMART,80,NOVELA,,BL1101
2,HERMANN HESSE,SIDDHARTA,ANDRÉS BELLO,125,NOVELA,,BL1102
3,HÉCTOR MALOT,EN FAMILIA,CENTRO GRÁFICO,100,NOVELA,,BL1103
4,VARIOS AUTORES,LEYENDAS CHILENAS,ANDRÉS BELLO,77,CLÁSICOS Y CUENTOS,,BL1104
5,ALEJANDRO MANZONI,LOS NOVIOS,RAMÓN SOPENA,535,NOVELA,,BL1105
6,MARCELA PAZ,¿SOY DIXLESO? POR PAPELUCHO,UNIVERSITARIA,109,INFANTIL,,BL1106
7,PLATÓN,APOLOGÍA DE SÓCRATES,COLICHEUQUE,80,FILOSOFÍA Y PSICOLOGÍA,,BL1107
8,JORGE LUIS BORGES,HISTORIA UNIVERSAL DE LA INFAMIA,ALIANZA,135,NOVELA,,BL1108
9,VARIOS AUTORES,ANTOLOGÍA DE CUENTOS DE MISTERIO,PROSA,127,CLÁSICOS Y CUENTOS,,BL1109
10,LINDA SILVERMAN GOLDZIMER,"""¡PRIMERO ESTOY YO!""",NORMA,253,ECONOMÍA Y ADMINISTRACIÓN,,BL1110
11,MOLIÈRE,TARTUFO O EL IMPOSTOR,UNIVERSITARIA,84,TEATRO,,BL1111
12,ALBERTO BLEST GANA,MARTÍN RIVAS,ZIG-ZAG,405,NOVELA,,BL1112
13,GABRIEL GARCÍA MÁRQUEZ,EL AMOR EN LOS TIEMPOS DEL CÓLERA,SUDAMERICANA,451,NOVELA,,BL1113
14,GUY DES CARS,EL SOLITARIO,EMECÉ,219,NOVELA,,BL1114
15,VARIOS AUTORES,CIENCIAS PLAN COMÚN QUÍMICA 2008,CEPECH,220,EDUCACIÓN,,BL1115
16,VARIOS AUTORES,ANIMALES DEL MUNDO,LIBSA,31,INFANTIL,,BL1116
17,ISABEL ALLENDE,LA CIUDAD DE LAS BESTIAS,SUDAMERICANA,304,NOVELA,,BL1117
18,ENRIQUE BARRIOS,AMI EL NIÑO DE LAS ESTRELLAS,SIRIO,199,INFANTIL,,BL1118
19,ANTOINE DE SAINT-EXUPÉRY,EL PRINCIPITO,ZIG-ZAG,106,CLÁSICOS Y CUENTOS,,BL1119
20,RABINDRANATH TAGORE,EL JARDINERO,PROSA,93,POESÍA,,BL1120
21,JACK LONDON,EL LLAMADO DE LA SELVA,ZIG-ZAG,123,CLÁSICOS Y CUENTOS,,BL1121
22,LOPE DE VEGA,FUENTEOVEJUNA,PROSA,94,TEATRO,,BL1122
23,MARÍA LUISA BOMBAL,LA ÚLTIMA NIEBLA,ANDRÉS BELLO,141,NOVELA,,BL1123
24,ENRIQUE IBSEN,CASA DE MUÑECAS,COLICHEUQUE,80,TEATRO,,BL1124
25,MADELEINE L'ENGLE,CAMILA,ALFAGUARA,197,NOVELA,,BL1125
26,LINN ULLMANN,ANTES DE QUE TE DUERMAS,RANDOM HOUSE MONDADORI,285,NOVELA,,BL1126
27,SAÚL SCHKOLNIK,CUENTOS DE LOS DERECHOS DEL NIÑO,ZIG-ZAG,117,INFANTIL,,BL1127
28,CLAUDIO JAQUE,EL RUIDO DEL TIEMPO,GALINOST,366,NOVELA,PRESTADO GABRIEL HIZAUT,BL1128
29,PETER HÄRTLING,BEN QUIERE A ANNA,ALFAGUARA,98,INFANTIL,,BL1129
30,THÉOPHILE GAUTIER,LA NOVELA DE UNA MOMIA,ANDRÉS BELLO,138,NOVELA,,BL1130
31,VARIOS AUTORES,GUÍA DE APOYO PSICOLÓGICO PARA UNIVERSITARIOS,USACH,163,EDUCACIÓN,,BL1131
32,JULIO VERNE,VEINTE MIL LEGUAS DE VIAJE SUBMARINO,ANDRÉS BELLO,159,CLÁSICOS Y CUENTOS,,BL1132
33,EMILY BRONTË,CUMBRES BORRASCOSAS,BIBLIOTECA DE LA LITERATURA UNIVERSAL,269,NOVELA,,BL1133
34,ISABEL ALLENDE,CUENTOS DE EVA LUNA,SUDAMERICANA,278,NOVELA,,BL1134
35,VARIOS AUTORES,JULIO CORTÁZAR: COMPROMISO Y FANTASÍA,AGUILAR,144,BIOGRAFÍA,,BL1135
36,ANA FRANK,EL DIARIO DE ANA FRANK,ZIG-ZAG,239,CLÁSICOS Y CUENTOS,,BL1136
37,JAVIER SIERRA,EL SECRETO EGIPCIO DE NAPOLEÓN,RANDOM HOUSE MONDADORI,302,NOVELA,,BL1137
38,MIGUEL DE UNAMUNO,NIEBLA,COLICHEUQUE,80,NOVELA,,BL1138
39,CAMILO JOSÉ CELA,LA COLMENA,ESPASA,263,NOVELA,,BL1139
40,ELENA G. DE WHITE,LA GRAN ESPERANZA,ACES,96,AUTOAYUDA,,BL1140
41,HERNÁN RIVERA LETELIER,LOS TRENES SE VAN AL PURGATORIO,PLANETA,191,NOVELA,,BL1141
42,JOSÉ LUIS ROSASCO,HISTORIAS DE AMOR Y ADOLESCENCIA,ANDRÉS BELLO,159,JUVENIL,,BL1142
43,ROBIN COOK,RIESGO ACEPTABLE,EMECÉ,400,NOVELA,THRILLER,BL1143
44,ANA MARÍA DEL RÍO,"LITA, LA NIÑA DEL FIN DEL MUNDO",ALFAGUARA,111,JUVENIL,,BL1144
45,MARCELA SERRANO,PARA QUE NO ME OLVIDES,ALFAGUARA,252,NOVELA,,BL1145
46,LAUREN KATE,OSCUROS,MONTENA,413,JUVENIL,,BL1146
47,JOSEMARÍA CARRERAS GUIXÉ,"BERGIL, EL CABALLERO PERDIDO DE BERLINDON",BAMBÚ,138,NOVELA,,BL1147
48,RÓMULO GALLEGOS,DOÑA BÁRBARA,BIBLIOTECA DE ORO DEL ESTUDIANTE,221,CLÁSICOS Y CUENTOS,,BL1148
49,ANÓNIMO,EL LAZARILLO DE TORMES,BIBLIOTECA DE ORO DEL ESTUDIANTE,144,CLÁSICOS Y CUENTOS,,BL1149
50,SAÚL SCHKOLNIK,ANTAI,ANDRÉS BELLO,94,INFANTIL,,BL1150
51,MARCO ANTONIO DE LA PARRA,EL AÑO DE LA BALLENA,ALFAGUARA,128,JUVENIL,,BL1151
52,MANUEL ROJAS,HIJO DE LADRÓN,ZIG-ZAG,255,NOVELA,,BL1152
53,JOSH MCDOWELL,MÁS QUE UN CARPINTERO,UNILIT,128,RELIGIÓN,,BL1153
54,MIGUEL DE UNAMUNO,NIEBLA,OLIMPO,152,NOVELA,,BL1154
55,TRUMAN CAPOTE,DESAYUNO EN TIFFANY'S,PORTADA,159,NOVELA,ADULTO,BL1155
56,RHONDA BYRNE,EL SECRETO,URANO,206,AUTOAYUDA,,BL1156
57,DENZIL ROMERO,"AMORES, PASIONES Y VICIOS DE LA GRAN CATALINA",EMECÉ,304,NOVELA,,BL1157
