"n","author","title","editorial","pages","genre","subgenre","code"
"1","HOMERO","LA ILIADA","ZIG-ZAG","160","CLÁSICOS Y CUENTOS","","BL1101"
"2","MIGUEL DE UNAMUNO","ABEL SÁNCHEZ","EDIMART","80","NOVELA","","BL1102"
"3","HERMANN HESSE","SIDDHARTA","ANDRÉS BELLO","125","NOVELA","","BL1103"
"4","HÉCTOR MALOT","EN FAMILIA","CENTRO GRÁFICO","100","NOVELA","","BL1104"
"5","VARIOS AUTORES","LEYENDAS CHILENAS","ANDRÉS BELLO","77","CLÁSICOS Y CUENTOS","","BL1105"
"6","ALEJANDRO MANZONI","LOS NOVIOS","RAMÓN SOPENA","535","NOVELA","","BL1106"
"7","MARCELA PAZ","¿SOY DIXLESO? POR PAPELUCHO","UNIVERSITARIA","109","INFANTIL","","BL1107"
"8","PLATÓN","APOLOGÍA DE SÓCRATES","COLICHEUQUE","80","FILOSOFÍA Y PSICOLOGÍA","","BL1108"
"9","JORGE LUIS BORGES","HISTORIA UNIVERSAL DE LA INFAMIA","ALIANZA","135","NOVELA","","BL1109"
"10","VARIOS AUTORES","ANTOLOGÍA DE CUENTOS DE MISTERIO","PROSA","127","CLÁSICOS Y CUENTOS","","BL1110"
"11","LINDA SILVERMAN GOLDZIMER","¡PRIMERO ESTOY YO!","NORMA","253","ECONOMÍA Y ADMINISTRACIÓN","","BL1111"
"12","MOLIÈRE","TARTUFO O EL IMPOSTOR","UNIVERSITARIA","84","TEATRO","","BL1112"
"13","ALBERTO BLEST GANA","MARTÍN RIVAS","ZIG-ZAG","405","NOVELA","","BL1113"
"14","GABRIEL GARCÍA MÁRQUEZ","EL AMOR EN LOS TIEMPOS DEL CÓLERA","SUDAMERICANA","451","NOVELA","","BL1114"
"15","GUY DES CARS","EL SOLITARIO","EMECÉ","219","NOVELA","","BL1115"
"16","VARIOS AUTORES","CIENCIAS PLAN COMÚN QUÍMICA 2008","CEPECH","220","EDUCACIÓN","","BL1116"
"17","VARIOS AUTORES","ANIMALES DEL MUNDO","LIBSA","31","INFANTIL","","BL1117"
"18","ISABEL ALLENDE","LA CIUDAD DE LAS BESTIAS","SUDAMERICANA","304","NOVELA","","BL1118"
"19","ENRIQUE BARRIOS","AMI EL NIÑO DE LAS ESTRELLAS","SIRIO","199","INFANTIL","","BL1119"
"20","ANTOINE DE SAINT-EXUPÉRY","EL PRINCIPITO","ZIG-ZAG","106","CLÁSICOS Y CUENTOS","","BL1120"
"21","RABINDRANATH TAGORE","EL JARDINERO","PROSA","93","POESÍA","","BL1121"
"22","JACK LONDON","EL LLAMADO DE LA SELVA","ZIG-ZAG","123","CLÁSICOS Y CUENTOS","","BL1122"
"23","LOPE DE VEGA","FUENTEOVEJUNA","PROSA","94","TEATRO","","BL1123"
"24","MARÍA LUISA BOMBAL","LA ÚLTIMA NIEBLA","ANDRÉS BELLO","141","NOVELA","","BL1124"
"25","ENRIQUE IBSEN","CASA DE MUÑECAS","COLICHEUQUE","80","TEATRO","","BL1125"
"26","MADELEINE L'ENGLE","CAMILA","ALFAGUARA","197","NOVELA","","BL1126"
"27","LINN ULLMANN","ANTES DE QUE TE DUERMAS","RANDOM HOUSE MONDADORI","285","NOVELA","","BL1127"
"28","SAÚL SCHKOLNIK","CUENTOS DE LOS DERECHOS DEL NIÑO","ZIG-ZAG","117","INFANTIL","","BL1128"
"29","CLAUDIO JAQUE","EL RUIDO DEL TIEMPO","GALINOST","366","NOVELA","PRESTADO GABRIEL HIZAUT","BL1129"
"30","PETER HÄRTLING","BEN QUIERE A ANNA","ALFAGUARA","98","INFANTIL","","BL1130"
"31","THÉOPHILE GAUTIER","LA NOVELA DE UNA MOMIA","ANDRÉS BELLO","138","NOVELA","","BL1131"
"32","VARIOS AUTORES","GUÍA DE APOYO PSICOLÓGICO PARA UNIVERSITARIOS","USACH","163","EDUCACIÓN","","BL1132"
"33","JULIO VERNE","VEINTE MIL LEGUAS DE VIAJE SUBMARINO","ANDRÉS BELLO","159","CLÁSICOS Y CUENTOS","","BL1133"
"34","EMILY BRONTË","CUMBRES BORRASCOSAS","BIBLIOTECA DE LA LITERATURA UNIVERSAL","269","NOVELA","","BL1134"
"35","ISABEL ALLENDE","CUENTOS DE EVA LUNA","SUDAMERICANA","278","NOVELA","","BL1135"
"36","VARIOS AUTORES","JULIO CORTÁZAR: COMPROMISO Y FANTASÍA","AGUILAR","144","BIOGRAFÍA","","BL1136"
"37","ANA FRANK","EL DIARIO DE ANA FRANK","ZIG-ZAG","239","CLÁSICOS Y CUENTOS","","BL1137"
"38","JAVIER SIERRA","EL SECRETO EGIPCIO DE NAPOLEÓN","RANDOM HOUSE MONDADORI","302","NOVELA","","BL1138"
"39","MIGUEL DE UNAMUNO","NIEBLA","COLICHEUQUE","80","NOVELA","","BL1139"
"40","CAMILO JOSÉ CELA","LA COLMENA","ESPASA","263","NOVELA","","BL1140"
"41","ELENA G. DE WHITE","LA GRAN ESPERANZA","ACES","96","AUTOAYUDA","","BL1141"
"42","HERNÁN RIVERA LETELIER","LOS TRENES SE VAN AL PURGATORIO","PLANETA","191","NOVELA","","BL1142"
"43","JOSÉ LUIS ROSASCO","HISTORIAS DE AMOR Y ADOLESCENCIA","ANDRÉS BELLO","159","JUVENIL","","BL1143"
"44","ROBIN COOK","RIESGO ACEPTABLE","EMECÉ","400","NOVELA","THRILLER","BL1144"
"45","ANA MARÍA DEL RÍO","LITA, LA NIÑA DEL FIN DEL MUNDO","ALFAGUARA","111","JUVENIL","","BL1145"
"46","MARCELA SERRANO","PARA QUE NO ME OLVIDES","ALFAGUARA","252","NOVELA","","BL1146"
"47","LAUREN KATE","OSCUROS","MONTENA","413","JUVENIL","","BL1147"
"48","JOSEMARÍA CARRERAS GUIXÉ","BERGIL, EL CABALLERO PERDIDO DE BERLINDON","BAMBÚ","138","NOVELA","","BL1148"
